SpeciesName,substratum
"Conopeum reticulum",Rockpools
"Cordylophora caspia","Under boulders"
"Chaetopterus variopedatus","Muddy sand"
"Conopeum reticulum","Small boulders"
"Conopeum reticulum","Under boulders"
"Aphrodita aculeata","Sandy mud"
"Ascidiella scabra","Biogenic reef"
"Corallina officinalis",Rockpools
"Corallina officinalis","Crevices / fissures"
"Mytilus edulis","Small boulders"
"Actinauge richardi","Coarse clean sand"
"Actinauge richardi","Fine clean sand"
"Actinauge richardi","Sandy mud"
"Actinauge richardi","Muddy sand"
"Actinauge richardi",Mud
"Alcyonidium diaphanum",Bedrock
"Alcyonidium diaphanum","Large to very large boulders"
"Alcyonidium diaphanum","Small boulders"
"Alcyonidium diaphanum",Cobbles
"Ampelisca brevicornis","Muddy sand"
"Ampelisca diadema","Muddy gravel"
"Ampelisca tenuicornis","Muddy sand"
"Ampharete falcata","Fine clean sand"
"Ampharete falcata","Sandy mud"
"Ampharete falcata","Muddy sand"
"Aporrhais pespelecani","Muddy gravel"
"Aporrhais pespelecani","Coarse clean sand"
"Aporrhais pespelecani","Muddy sand"
"Aporrhais pespelecani",Mud
"Astarte sulcata","Gravel / shingle"
"Astarte sulcata","Muddy gravel"
"Astarte sulcata","Muddy sand"
"Astarte sulcata",Mud
"Bathyporeia elegans","Fine clean sand"
"Caryophyllia smithii",Bedrock
"Caryophyllia smithii","Large to very large boulders"
"Caryophyllia smithii",Cobbles
"Caryophyllia smithii","Other species (see additional information)"
"Cerianthus lloydii","Muddy gravel"
"Halichondria bowerbanki",Bedrock
"Chaetopterus variopedatus","Coarse clean sand"
"Chaetopterus variopedatus","Fine clean sand"
"Chaetozone setosa","Muddy gravel"
"Chaetozone setosa","Coarse clean sand"
"Chaetozone setosa","Fine clean sand"
"Chaetozone setosa","Sandy mud"
"Chaetozone setosa","Muddy sand"
"Chaetozone setosa",Mud
"Hyalinoecia tubicola","Coarse clean sand"
"Hyalinoecia tubicola","Fine clean sand"
"Hyalinoecia tubicola","Sandy mud"
"Hyalinoecia tubicola","Muddy sand"
"Hyalinoecia tubicola",Mud
"Hydrallmania falcata",Pebbles
"Hydrallmania falcata","Coarse clean sand"
"Hydrallmania falcata","Fine clean sand"
"Cerianthus lloydii","Coarse clean sand"
"Cerianthus lloydii","Fine clean sand"
"Cerianthus lloydii","Sandy mud"
"Cerianthus lloydii",Mud
"Cerianthus lloydii",Mixed
"Cerianthus lloydii","Muddy sand"
"Cerianthus lloydii","Gravel / shingle"
"Inachus dorsettensis",Pebbles
"Inachus dorsettensis","Coarse clean sand"
"Inachus dorsettensis","Fine clean sand"
"Inachus dorsettensis","Sandy mud"
"Inachus dorsettensis",Mud
"Inachus dorsettensis","Muddy sand"
"Macropipus tuberculatus",Mud
"Maja squinado",Bedrock
"Maja squinado","Coarse clean sand"
"Maja squinado","Fine clean sand"
"Mediomastus fragilis","Muddy gravel"
"Mediomastus fragilis","Sandy mud"
"Mediomastus fragilis","Muddy sand"
"Mediomastus fragilis",Mud
"Mysella bidentata","Muddy sand"
"Nemertesia antennina","Coarse clean sand"
"Nemertesia antennina","Fine clean sand"
"Nephtys cirrosa","Coarse clean sand"
"Nephtys cirrosa","Sandy mud"
"Nucula sulcata","Muddy sand"
"Nucula sulcata",Mud
"Nucula sulcata",Clay
"Ophiura albida","Fine clean sand"
"Ophiura albida","Sandy mud"
"Ophiura albida","Muddy sand"
"Sagartiogeton undatus",Bedrock
"Sagartiogeton undatus","Large to very large boulders"
"Sagartiogeton undatus","Small boulders"
"Sagartiogeton undatus",Cobbles
"Sagartiogeton undatus",Pebbles
"Sagartiogeton undatus","Gravel / shingle"
"Sagartiogeton undatus","Coarse clean sand"
"Sagartiogeton undatus","Fine clean sand"
"Sagartiogeton undatus","Crevices / fissures"
"Scaphander lignarius","Muddy sand"
"Scoloplos armiger","Coarse clean sand"
"Scoloplos armiger","Fine clean sand"
"Scoloplos armiger","Muddy sand"
"Thyasira flexuosa","Sandy mud"
"Leptosynapta inhaerens",Mud
"Thyone fusus","Gravel / shingle"
"Distomus variolosus",Bedrock
"Distomus variolosus","Large to very large boulders"
"Distomus variolosus",Algae
"Echinocyamus pusillus","Coarse clean sand"
"Echinocyamus pusillus","Gravel / shingle"
"Amphipholis squamata","Gravel / shingle"
"Pseudocuma longicorne",Mud
"Pseudocuma longicorne","Muddy sand"
"Pseudocuma longicorne","Sandy mud"
"Pseudocuma longicorne","Water column (pelagic)"
"Leptocheirus spp.","Gravel / shingle"
"Sertularia cupressina",Bedrock
"Sertularia cupressina","Large to very large boulders"
"Sertularia cupressina",Cobbles
"Abietinaria abietina",Bedrock
"Abietinaria abietina","Large to very large boulders"
"Abietinaria abietina","Small boulders"
"Abietinaria abietina",Cobbles
"Tubularia indivisa",Bedrock
"Tubularia indivisa","Large to very large boulders"
"Tubularia indivisa","Small boulders"
"Tubularia indivisa",Cobbles
"Sagartia elegans","Gravel / shingle"
"Sagartia elegans",Mud
"Nephasoma spp.",Mud
"Pholoe spp.","Gravel / shingle"
"Eteone spp.","Gravel / shingle"
"Eteone spp.",Mud
"Hesionura spp.","Coarse clean sand"
"Sertularia cupressina","Small boulders"
"Pseudomystides spp.","Gravel / shingle"
"Eulalia spp.",Bedrock
"Eulalia spp.","Large to very large boulders"
"Eulalia spp.",Cobbles
"Eulalia spp.",Pebbles
"Eulalia spp.","Gravel / shingle"
"Eulalia spp.","Small boulders"
"Glycera spp.","Coarse clean sand"
"Glycera spp.","Fine clean sand"
"Glycera spp.","Muddy sand"
"Drilonereis spp.","Muddy sand"
"Drilonereis spp.",Mud
"Protodorvillea spp.",Pebbles
"Protodorvillea spp.","Biogenic reef"
"Exogone spp.","Coarse clean sand"
"Exogone spp.","Gravel / shingle"
"Sphaerosyllis spp.","Gravel / shingle"
"Sphaerosyllis spp.",Mud
"Myrianida spp.",Algae
"Myrianida spp.",Pebbles
"Myrianida spp.","Gravel / shingle"
"Lumbrineris spp.",Algae
"Lumbrineris spp.","Gravel / shingle"
"Lumbrineris spp.",Mud
"Lumbrineris spp.","Muddy sand"
"Orbinia spp.","Muddy sand"
"Orbinia spp.","Fine clean sand"
"Paraonis spp.","Coarse clean sand"
"Paraonis spp.","Fine clean sand"
"Aonides spp.",Algae
"Aonides spp.",Bedrock
"Aonides spp.","Coarse clean sand"
"Aonides spp.","Fine clean sand"
"Laonice spp.","Gravel / shingle"
"Laonice spp.","Muddy sand"
"Minuspio spp.",Mud
"Prionospio spp.",Mud
"Mytilus edulis","Under boulders"
"Mytilus edulis",Caves
"Mytilus edulis","Crevices / fissures"
"Asterias rubens",Bedrock
"Dendrodoa grossularia",Bedrock
"Dendrodoa grossularia","Large to very large boulders"
"Dendrodoa grossularia",Algae
"Dendrodoa grossularia","Other species (see additional information)"
"Leptosynapta inhaerens","Muddy sand"
"Leptosynapta inhaerens","Muddy gravel"
"Iphinoe trispinosa","Water column (pelagic)"
"Iphinoe trispinosa","Muddy sand"
"Iphinoe trispinosa","Coarse clean sand"
"Iphinoe trispinosa","Fine clean sand"
"Pisione spp.","Coarse clean sand"
"Harmothoe spp.",Algae
"Harmothoe spp.","Other species (see additional information)"
"Harmothoe spp.","Gravel / shingle"
"Harmothoe spp.","Crevices / fissures"
"Lepidonotus spp.",Bedrock
"Lepidonotus spp.",Algae
"Eteone spp.","Crevices / fissures"
"Eteone spp.",Algae
"Eulalia spp.",Algae
"Eulalia spp.","Other species (see additional information)"
"Eumida spp.",Algae
"Syllis spp.",Algae
"Syllis spp.","Other species (see additional information)"
"Pionosyllis spp.",Algae
"Pionosyllis spp.","Other species (see additional information)"
"Pionosyllis spp.",Rockpools
"Exogone spp.",Algae
"Exogone spp.","Other species (see additional information)"
"Lumbrineris spp.","Other species (see additional information)"
"Euclymene spp.",Algae
"Euclymene spp.",Mud
"Ophelia spp.","Muddy sand"
"Ophelia spp.","Water column (pelagic)"
"Polycirrus spp.",Algae
"Polycirrus spp.","Muddy sand"
"Lagis spp.",Mud
"Scalibragma spp.","Muddy gravel"
"Scalibragma spp.",Mud
"Travisia spp.","Muddy sand"
"Asterina gibbosa","Gravel / shingle"
"Asterina gibbosa","Large to very large boulders"
"Asterina gibbosa",Bedrock
"Buccinum undatum",Algae
"Pagurus spp.",Rockpools
"Pagurus spp.",Bedrock
"Pagurus spp.",Cobbles
"Pagurus spp.","Gravel / shingle"
"Upogebia spp.","Muddy sand"
"Upogebia spp.",Mud
"Upogebia spp.",Clay
"Pennatula phosphorea ","Coarse clean sand"
"Pennatula phosphorea ","Fine clean sand"
"Pennatula phosphorea ","Sandy mud"
"Pennatula phosphorea ","Muddy sand"
"Pennatula phosphorea ",Mud
"Pennatula phosphorea ","Muddy sandy gravel"
"Pennatula phosphorea ","Gravelley sand"
"Pennatula phosphorea ","Muddy gravelly sand"
"Pennatula phosphorea ","Sandy gravelly mud"
"Bolocera tuediae",Bedrock
"Bolocera tuediae","Large to very large boulders"
"Bolocera tuediae","Small boulders"
"Bolocera tuediae",Cobbles
"Bolocera tuediae","Biogenic reef"
"Adamsia carciniopados","Other species (see additional information)"
"Ditrupa arietina","Coarse clean sand"
"Ditrupa arietina","Fine clean sand"
"Ditrupa arietina","Sandy mud"
"Ditrupa arietina","Muddy sand"
"Ditrupa arietina",Mud
"Ditrupa arietina","Muddy gravelly sand"
"Ditrupa arietina","Sandy gravelly mud"
"Neanthes fucata","Other species (see additional information)"
"Processa canaliculata","Coarse clean sand"
"Processa canaliculata","Fine clean sand"
"Processa canaliculata","Muddy sand"
"Processa canaliculata",Mud
"Processa canaliculata",Mixed
"Processa canaliculata","Gravelley sand"
"Processa canaliculata","Muddy gravelly sand"
"Dichelopandalus bonnieri","Gravel / shingle"
"Dichelopandalus bonnieri","Muddy gravel"
"Dichelopandalus bonnieri","Coarse clean sand"
