SpeciesName,devmech
"Nuculana spp.",Lecithotrophic
"Nuculana spp.","Direct Development"
"Pandalina spp.",Planktotrophic
"Antedon bifida",Brooding
"Arenicola marina",Oviparous
"Armandia cirrhosa",Planktotrophic
"Atrina fragilis",Planktotrophic
"Balanus crenatus",Planktotrophic
"Balanus crenatus",Lecithotrophic
"Cerastoderma glaucum",Planktotrophic
"Chondrus crispus","Spores (sexual / asexual)"
"Himanthalia elongata","Spores (sexual / asexual)"
"Anoplodactylus spp.",Planktotrophic
"Conopeum reticulum",Planktotrophic
"Eunicella verrucosa",Lecithotrophic
"Tellina fabula",Planktotrophic
"Furcellaria lumbricalis","Spores (sexual / asexual)"
"Gobius cobitis",Oviparous
"Pandalus spp.",Planktotrophic
"Guernea spp.","Direct Development"
"Cirrophorous spp.","Insufficient information"
"Himanthalia elongata",Oviparous
"Styela spp.",Lecithotrophic
"Eurysyllis spp.","Insufficient information"
"Metopa spp.","Insufficient information"
"Polycarpa spp.",Lecithotrophic
"Chorda filum","Spores (sexual / asexual)"
"Clavelina lepadiformis",Lecithotrophic
"Circomphalus spp.",Lecithotrophic
"Syllides spp.","Insufficient information"
"Odontosyllis spp.","Insufficient information"
"Tridonta spp.",Lecithotrophic
"Chamelea spp.",Lecithotrophic
"Himanthalia elongata","See additional information"
"Palliolum spp.","Insufficient information"
"Ascidia spp.",Lecithotrophic
"Corallina officinalis","Spores (sexual / asexual)"
"Alkmaria romijni",Lecithotrophic
"Aphelochaeta marioni",Lecithotrophic
"Ascophyllum nodosum","Spores (sexual / asexual)"
"Cordylophora caspia",Lecithotrophic
"Cordylophora caspia","Direct Development"
"Alcyonidium diaphanum",Lecithotrophic
"Caryophyllia smithii",Planktotrophic
"Cerianthus lloydii",Planktotrophic
"Inachus dorsettensis",Planktotrophic
"Macropipus tuberculatus",Planktotrophic
"Maja squinado",Planktotrophic
"Mediomastus fragilis",Planktotrophic
"Thyasira flexuosa","Direct Development"
"Leptosynapta inhaerens","Viviparous (No Care)"
"Leptosynapta inhaerens","Direct Development"
"Leptosynapta inhaerens",Brooding
"Distomus variolosus","Viviparous (No Care)"
"Axinella dissimilis","Spores (sexual / asexual)"
"Pseudocuma longicorne","Direct Development"
"Pseudocuma longicorne",Brooding
"Leptocheirus spp.",Brooding
"Sertularia cupressina",Brooding
"Abietinaria abietina",Brooding
"Tubularia indivisa",Brooding
"Sagartia elegans",Planktotrophic
"Sagartia elegans","Viviparous (No Care)"
"Nephasoma spp.","Direct Development"
"Pisione spp.",Planktotrophic
"Lepidonotus spp.",Planktotrophic
"Pholoe spp.",Planktotrophic
"Eteone spp.",Planktotrophic
"Hesionura spp.",Planktotrophic
"Pseudomystides spp.",Planktotrophic
"Eulalia spp.",Oviparous
"Eumida spp.",Planktotrophic
"Glycera spp.",Planktotrophic
"Protodorvillea spp.",Planktotrophic
"Protodorvillea spp.",Brooding
"Syllis spp.",Planktotrophic
"Exogone spp.","Direct Development"
"Sphaerosyllis spp.","Direct Development"
"Aonides spp.",Lecithotrophic
"Laonice spp.",Planktotrophic
"Minuspio spp.",Planktotrophic
"Prionospio spp.",Planktotrophic
"Pholoe spp.",Lecithotrophic
"Hesionura spp.",Lecithotrophic
"Pseudomystides spp.",Lecithotrophic
"Eulalia spp.",Planktotrophic
"Eulalia spp.",Lecithotrophic
"Eumida spp.",Lecithotrophic
"Syllis spp.",Lecithotrophic
"Syllis spp.",Schizotomous
"Syllis spp.",Brooding
"Pionosyllis spp.",Brooding
"Pionosyllis spp.",Schizotomous
"Pionosyllis spp.",Lecithotrophic
"Exogone spp.",Lecithotrophic
"Euclymene spp.",Lecithotrophic
"Euclymene spp.","Direct Development"
"Euclymene spp.",Brooding
"Ophelia spp.",Lecithotrophic
"Lagis spp.",Planktotrophic
"Travisia spp.","Direct Development"
"Asterina gibbosa",Lecithotrophic
"Pagurus spp.",Planktotrophic
"Pagurus spp.",Brooding
"Upogebia spp.",Planktotrophic
"Upogebia spp.",Brooding
"Pennatula phosphorea ",Planktotrophic
"Bolocera tuediae",Planktotrophic
"Adamsia carciniopados",Planktotrophic
"Neanthes fucata","Not researched"
"Processa canaliculata","Not researched"
"Dichelopandalus bonnieri",Planktotrophic
"Pandalus borealis",Planktotrophic
"Crangon allmanni","Not researched"
"Anapagurus laevis",Planktotrophic
"Pagurus bernhardus",Planktotrophic
"Pagurus bernhardus",Brooding
"Pagurus prideauxi",Planktotrophic
"Necora puber",Planktotrophic
"Aequipecten opercularis","Not researched"
"Pseudamussium septemradiatum","Not researched"
"Aporrhais serresianus","Not researched"
"Polinices spp.",Planktotrophic
"Luidia ciliaris","Not researched"
"Luidia sarsi","Not researched"
"Porania pulvillus","Not researched"
"Pollachius pollachius",Oviparous
"Trisopterus luscus",Oviparous
"Trisopterus minutus",Oviparous
"Ctenolabrus rupestris",Oviparous
