SpeciesName,feedingmethod
"Leptosynapta inhaerens",Detritivore
"Thyone fusus","Surface deposit feeder"
"Distomus variolosus","Active suspension feeder"
"Pseudocuma longicorne",Detritivore
"Sertularia cupressina",Predator
"Abietinaria abietina",Predator
"Tubularia indivisa",Predator
"Sagartia elegans",Predator
"Nephasoma spp.","Sub-surface deposit feeder"
"Pisione spp.",Predator
"Lepidonotus spp.",Omnivore
"Pholoe spp.",Predator
"Eteone spp.",Predator
"Hesionura spp.",Predator
"Pseudomystides spp.",Predator
"Eulalia spp.",Predator
"Eumida spp.",Predator
"Glycera spp.",Predator
"Drilonereis spp.",Predator
"Protodorvillea spp.",Predator
"Syllis spp.",Predator
"Pionosyllis spp.",Predator
"Exogone spp.",Predator
"Sphaerosyllis spp.",Predator
"Orbinia spp.","Sub-surface deposit feeder"
"Paraonis spp.","Sub-surface deposit feeder"
"Aonides spp.","Surface deposit feeder"
"Laonice spp.","Surface deposit feeder"
"Minuspio spp.","Surface deposit feeder"
"Prionospio spp.","Surface deposit feeder"
"Pisione spp.",Herbivore
"Lepidonotus spp.",Predator
"Eteone spp.",Scavenger
"Eulalia spp.",Scavenger
"Syllis spp.",Herbivore
"Pionosyllis spp.",Herbivore
"Exogone spp.",Herbivore
"Exogone spp.",Detritivore
"Euclymene spp.","Sub-surface deposit feeder"
"Ophelia spp.","Surface deposit feeder"
"Lagis spp.","Sub-surface deposit feeder"
"Scalibragma spp.","Surface deposit feeder"
"Scalibragma spp.","Sub-surface deposit feeder"
"Travisia spp.","Sub-surface deposit feeder"
"Pagurus spp.",Scavenger
"Pagurus spp.","Passive suspension feeder"
"Upogebia spp.","Active suspension feeder"
"Pennatula phosphorea ","Passive suspension feeder"
"Bolocera tuediae",Predator
"Bolocera tuediae","Passive suspension feeder"
"Adamsia carciniopados",Scavenger
"Adamsia carciniopados","Passive suspension feeder"
"Adamsia carciniopados","Surface deposit feeder"
"Adamsia carciniopados",Detritivore
"Adamsia carciniopados",Predator
"Neanthes fucata",Scavenger
"Neanthes fucata",Detritivore
"Neanthes fucata","Active suspension feeder"
"Neanthes fucata",Predator
"Processa canaliculata",Predator
"Processa canaliculata","Surface deposit feeder"
"Processa canaliculata",Detritivore
"Processa canaliculata",Scavenger
"Dichelopandalus bonnieri",Predator
"Dichelopandalus bonnieri",Scavenger
"Pandalus borealis",Predator
"Pandalus borealis","Surface deposit feeder"
"Pandalus borealis",Detritivore
"Pandalus borealis",Scavenger
"Crangon allmanni",Predator
"Crangon allmanni",Scavenger
"Anapagurus laevis",Omnivore
"Anapagurus laevis",Detritivore
"Anapagurus laevis",Scavenger
"Anapagurus laevis","Surface deposit feeder"
"Pagurus bernhardus","Surface deposit feeder"
"Pagurus bernhardus",Predator
"Pagurus bernhardus","Active suspension feeder"
"Pagurus prideauxi","Surface deposit feeder"
"Pagurus prideauxi",Predator
"Pagurus prideauxi","Active suspension feeder"
"Necora puber",Omnivore
"Necora puber",Herbivore
"Necora puber",Predator
"Necora puber",Scavenger
"Aequipecten opercularis","Active suspension feeder"
"Pseudamussium septemradiatum","Active suspension feeder"
"Pseudamussium septemradiatum","Surface deposit feeder"
"Aporrhais serresianus",Detritivore
"Aporrhais serresianus","Surface deposit feeder"
"Polinices spp.",Predator
"Luidia ciliaris",Predator
"Luidia ciliaris",Scavenger
"Luidia sarsi",Predator
"Luidia sarsi",Scavenger
"Porania pulvillus",Predator
"Porania pulvillus",Scavenger
"Porania pulvillus","Surface deposit feeder"
"Pollachius pollachius",Predator
"Pollachius pollachius",Scavenger
"Trisopterus luscus",Predator
"Trisopterus luscus",Scavenger
"Trisopterus minutus",Predator
"Trisopterus minutus",Scavenger
"Ctenolabrus rupestris",Predator
"Ctenolabrus rupestris",Scavenger
"Labrus bergylta",Predator
"Labrus bergylta",Scavenger
"Labrus mixtus",Predator
"Labrus mixtus",Scavenger
"Parablennius gattorugine",Omnivore
"Callionymus lyra",Predator
"Callionymus lyra",Scavenger
"Thorogobius ephippiatus",Omnivore
"Pleuronectes platessa",Predator
"Pleuronectes platessa",Scavenger
"Gastrosaccus spp.","Active suspension feeder"
"Gastrosaccus spp.","Sub-surface deposit feeder"
"Urothoe spp.","Active suspension feeder"
"Urothoe spp.","Surface deposit feeder"
"Arcopagia spp.","Surface deposit feeder"
"Arcopagia spp.","Active suspension feeder"
"Tellina spp.","Surface deposit feeder"
"Tellina spp.","Active suspension feeder"
"Solecurtus spp.","Surface deposit feeder"
"Solecurtus spp.","Active suspension feeder"
"Dosinia spp.","Active suspension feeder"
"Sphenia spp.","Active suspension feeder"
"Thracia spp.","Active suspension feeder"
"Atelecyclus spp.",Scavenger
"Atelecyclus spp.",Predator
"Pirimela spp.",Omnivore
"Pirimela spp.",Scavenger
"Pilumnus spp.",Omnivore
"Pilumnus spp.",Scavenger
"Leptochiton spp.",Herbivore
"Glycymeris spp.","Active suspension feeder"
"Laevicardium spp.","Active suspension feeder"
"Astropecten irregularis",Predator
"Astropecten irregularis",Scavenger
"Dysidea fragilis","Active suspension feeder"
"Homarus gammarus",Scavenger
"Homarus gammarus",Omnivore
"Leptasterias muelleri",Omnivore
"Leptasterias muelleri",Scavenger
"Leptasterias muelleri",Predator
"Idotea pelagica",Omnivore
"Sabellaria spinulosa","Passive suspension feeder"
"Sabellaria spinulosa","Active suspension feeder"
"Liocarcinus depurator",Predator
"Liocarcinus depurator",Scavenger
"Psammechinus miliaris",Predator
"Psammechinus miliaris",Scavenger
"Ophiothrix fragilis","Passive suspension feeder"
"Ophiothrix fragilis","Active suspension feeder"
"Ophiothrix fragilis","Surface deposit feeder"
"Ophiothrix fragilis","Sub-surface deposit feeder"
"Hydrobia ulvae","Surface deposit feeder"
"Hydrobia ulvae","Sub-surface deposit feeder"
"Echinus esculentus","Grazer (grains/particles)"
"Echinus esculentus","Grazer (fronds/blades)"
"Echinus esculentus","Grazer (surface/substratum)"
