SpeciesName,feedingmethod
"Urothoe brevicornis","Sub-surface deposit feeder"
"Urothoe elegans","Surface deposit feeder"
"Urothoe elegans","Sub-surface deposit feeder"
"Urothoe marina","Surface deposit feeder"
"Urothoe marina","Sub-surface deposit feeder"
"Urothoe poseidonis","Surface deposit feeder"
"Urothoe poseidonis","Sub-surface deposit feeder"
"Gammarus chevreuxi","Field unresearched"
"Hippocampus guttulatus","Field unresearched"
"Echinogammarus planicrurus","Field unresearched"
"Sargassum (Bactrophycus) muticum","Field unresearched"
"Littorina saxatilis","Field unresearched"
"Leptosynapta spp.","Sub-surface deposit feeder"
"Leptosynapta spp.",Detritivore
"Leptosynapta spp.","Grazer (surface/substratum)"
"Pisidia spp.","Active suspension feeder"
"Pisidia spp.",Detritivore
"Spio martinensis","Surface deposit feeder"
"Spio martinensis",Detritivore
"Polydora spp.","Active suspension feeder"
"Polydora spp.","Surface deposit feeder"
"Galathea spp.","Grazer (surface/substratum)"
"Galathea spp.",Detritivore
"Galathea spp.",Scavenger
"Balanus spp.","Active suspension feeder"
"Balanus spp.",Detritivore
"Macropodia spp.",Omnivore
"Diplosoma listerianum","Active suspension feeder"
