AphiaID,Species,Phylum,Class,Order,Family,Genus
136065,Onchnesoma squamatum,Sipuncula,Sipunculidea,Golfingiida,Golfingiidae,Onchnesoma
410742,Onchnesoma steenstrupii,Sipuncula,Sipunculidea,Golfingiida,Golfingiidae,Onchnesoma
156214,Limea crassa,Mollusca,Bivalvia,Limida,Limidae,Limea
157381,Euphrosine cirrata,Annelida,Polychaeta,Amphinomida,Euphrosinidae,Euphrosine
131025,Placostegus tridentatus,Annelida,Polychaeta,Sabellida,Serpulidae,Placostegus
111148,Bicellarina alderi,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Bicellarina
134240,Stylocordyla borealis,Porifera,Demospongiae,Suberitida,Stylocordylidae,Stylocordyla
101492,NA,Arthropoda,Malacostraca,Amphipoda,Unciolidae,Neohela
131573,Terebellides stroemii,Annelida,Polychaeta,Terebellida,Trichobranchidae,Terebellides
140103,Hiatella arctica,Mollusca,Bivalvia,Adapedonta,Hiatellidae,Hiatella
985,NA,Annelida,Polychaeta,Sabellida,Sabellidae,NA
102972,Harpinia pectinata,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,Harpinia
1135,NA,Arthropoda,Malacostraca,Amphipoda,NA,NA
130113,Pherusa plumosa,Annelida,Polychaeta,Terebellida,Flabelligeridae,Pherusa
1133,NA,Arthropoda,Malacostraca,Tanaidacea,NA,NA
138749,Heteranomia squamula,Mollusca,Bivalvia,Pectinida,Anomiidae,Heteranomia
142004,Yoldiella nana,Mollusca,Bivalvia,Nuculanida,Yoldiidae,Yoldiella
138552,NA,Mollusca,Bivalvia,Lucinida,Thyasiridae,Thyasira
142006,Yoldiella propinqua,Mollusca,Bivalvia,Nuculanida,Yoldiidae,Yoldiella
136284,Apseudes spinosus,Arthropoda,Malacostraca,Tanaidacea,Apseudidae,Apseudes
130903,Euchone analis,Annelida,Polychaeta,Sabellida,Sabellidae,Euchone
130224,Augeneria algida,Annelida,Polychaeta,Eunicida,Lumbrineridae,Augeneria
175027,Golfingia (Golfingia) margaritacea,Sipuncula,Sipunculidea,Golfingiida,Golfingiidae,Golfingia
118523,Dendrotion spinosum,Arthropoda,Malacostraca,Isopoda,Dendrotionidae,Dendrotion
107240,Pagurus pubescens,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus
140005,Cadulus jeffreysi,Mollusca,Scaphopoda,Gadilida,Gadilidae,Cadulus
151929,Trophonopsis barvicensis,Mollusca,Gastropoda,Neogastropoda,Muricidae,Trophonopsis
264904,NA,Hemichordata,Graptolithoidea,Cephalodiscoidea,Cephalodiscidae,Cephalodiscus
104040,NA,Brachiopoda,Rhynchonellata,Terebratulida,Cancellothyrididae,Terebratulina
101940,Byblis crassicornis,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Byblis
110560,Campylaspis verrucosa,Arthropoda,Malacostraca,Cumacea,Nannastacidae,Campylaspis
118983,Caecognathia hirsuta,Arthropoda,Malacostraca,Isopoda,Gnathiidae,Caecognathia
760213,Aquiloniella scabra,Bryozoa,Gymnolaemata,Cheilostomatida,Candidae,Aquiloniella
111128,Porella laevis,Bryozoa,Gymnolaemata,Cheilostomatida,Bryocryptellidae,Porella
157583,Syllis cornuta,Annelida,Polychaeta,Phyllodocida,Syllidae,Syllis
129654,NA,Annelida,Polychaeta,Phyllodocida,Syllidae,Exogone
102820,Maera loveni,Arthropoda,Malacostraca,Amphipoda,Maeridae,Maera
181510,Therochaeta flabellata,Annelida,Polychaeta,Terebellida,Flabelligeridae,Therochaeta
118848,Eurydice grimaldii,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Eurydice
110415,NA,Arthropoda,Malacostraca,Cumacea,Nannastacidae,Campylaspis
129487,NA,Annelida,Polychaeta,Phyllodocida,Polynoidae,Eunoe
986944,Terminoflustra barleei,Bryozoa,Gymnolaemata,Cheilostomatida,Flustridae,Terminoflustra
125080,Amphiura filiformis,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphiura
131188,Spiophanes kroyeri,Annelida,Polychaeta,Spionida,Spionidae,Spiophanes
131153,Prionospio cirrifera,Annelida,Polychaeta,Spionida,Spionidae,Prionospio
129784,Amphicteis gunneri,Annelida,Polychaeta,Terebellida,Ampharetidae,Amphicteis
129792,Eclysippe vanelli,Annelida,Polychaeta,Terebellida,Ampharetidae,Eclysippe
254745,Laonome kroyeri,Annelida,Polychaeta,Sabellida,Sabellidae,Laonome
111249,Scrupocellaria scrupea,Bryozoa,Gymnolaemata,Cheilostomatida,Candidae,Scrupocellaria
130740,Eucranta villosa,Annelida,Polychaeta,Phyllodocida,Polynoidae,Eucranta
129708,NA,Annelida,Polychaeta,Terebellida,Terebellidae,Pista
110866,NA,Bryozoa,Gymnolaemata,Cheilostomatida,Candidae,Scrupocellaria
129702,NA,Annelida,Polychaeta,Terebellida,Terebellidae,Neoamphitrite
130989,Filograna implexa,Annelida,Polychaeta,Sabellida,Serpulidae,Filograna
118497,Calathura brachiata,Arthropoda,Malacostraca,Isopoda,Leptanthuridae,Calathura
124978,Ophiacantha bidentata,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiacanthidae,Ophiacantha
103560,Didemnum albidum,Chordata,Ascidiacea,Aplousobranchia,Didemnidae,Didemnum
124913,Ophiura albida,Echinodermata,Ophiuroidea,Ophiurida,Ophiuridae,Ophiura
334506,Phyllodoce groenlandica,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce
101930,Ampelisca tenuicornis,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca
152448,Amphictene auricoma,Annelida,Polychaeta,Terebellida,Pectinariidae,Amphictene
129155,NA,Annelida,Polychaeta,Terebellida,Ampharetidae,Ampharete
129242,NA,Annelida,Polychaeta,Terebellida,Cirratulidae,Chaetozone
124850,Ophiocten affinis,Echinodermata,Ophiuroidea,Ophiurida,Ophiuridae,Ophiocten
919,NA,Annelida,Polychaeta,Terebellida,Cirratulidae,NA
118437,NA,Arthropoda,Malacostraca,Isopoda,Gnathiidae,Gnathia
129528,NA,Annelida,Polychaeta,Sabellida,Sabellidae,Euchone
101395,NA,Arthropoda,Malacostraca,Amphipoda,Lysianassidae,NA
130987,Ditrupa arietina,Annelida,Polychaeta,Sabellida,Serpulidae,Ditrupa
130141,Goniada norvegica,Annelida,Polychaeta,Phyllodocida,Goniadidae,Goniada
1614,NA,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,NA
118990,Gnathia dentata,Arthropoda,Malacostraca,Isopoda,Gnathiidae,Gnathia
488962,Nototropis nordlandicus,Arthropoda,Malacostraca,Amphipoda,Atylidae,Nototropis
139975,Puncturella noachina,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Puncturella
965,NA,Annelida,Polychaeta,Eunicida,Onuphidae,NA
131505,Neoamphitrite grayi,Annelida,Polychaeta,Terebellida,Terebellidae,Neoamphitrite
129196,NA,Annelida,Polychaeta,Phyllodocida,Aphroditidae,Laetmonice
130116,Glycera alba,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera
982,NA,Annelida,Polychaeta,Terebellida,Terebellidae,NA
204,NA,Mollusca,Bivalvia,Nuculida,Nuculidae,NA
130223,Abyssoninoe scopa,Annelida,Polychaeta,Eunicida,Lumbrineridae,Abyssoninoe
130476,Paradiopatra fiordica,Annelida,Polychaeta,Eunicida,Onuphidae,Paradiopatra
137867,NA,Mollusca,Gastropoda,Cephalaspidea,Cylichnidae,Cylichna
952,NA,Annelida,Polychaeta,Phyllodocida,Glyceridae,NA
102736,Tmetonyx cicada,Arthropoda,Malacostraca,Amphipoda,Uristidae,Tmetonyx
101883,Ampelisca aequicornis,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca
152252,NA,Annelida,Polychaeta,Terebellida,Ampharetidae,NA
118677,Ilyarachna longicornis,Arthropoda,Malacostraca,Isopoda,Munnopsidae,Ilyarachna
139072,Cerithiella metula,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Newtoniellidae,Cerithiella
153024,NA,Mollusca,Bivalvia,Pectinida,NA,NA
110868,NA,Bryozoa,Gymnolaemata,Cheilostomatida,Candidae,Tricellaria
111688,Bicrisia abyssicola,Bryozoa,Stenolaemata,Cyclostomatida,Crisiidae,Bicrisia
139490,Scaphander punctostriatus,Mollusca,Gastropoda,Cephalaspidea,Scaphandridae,Scaphander
2089,NA,Mollusca,Caudofoveata,Chaetodermatida,Chaetodermatidae,NA
111699,Crisia klugei,Bryozoa,Stenolaemata,Cyclostomatida,Crisiidae,Crisia
111285,Turbicellepora avicularis,Bryozoa,Gymnolaemata,Cheilostomatida,Celleporidae,Turbicellepora
130888,Chone duneri,Annelida,Polychaeta,Sabellida,Sabellidae,Chone
129788,Amythasides macroglossus,Annelida,Polychaeta,Terebellida,Ampharetidae,Amythasides
130906,Euchone papillosa,Annelida,Polychaeta,Sabellida,Sabellidae,Euchone
129293,NA,Annelida,Polychaeta,Terebellida,Flabelligeridae,Pherusa
138024,NA,Mollusca,Scaphopoda,Gadilida,Gadilidae,Cadulus
129240,NA,Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta
141435,Abra nitida,Mollusca,Bivalvia,Cardiida,Semelidae,Abra
138824,Astarte sulcata,Mollusca,Bivalvia,Carditida,Astartidae,Astarte
967,NA,Annelida,Polychaeta,Eunicida,Lumbrineridae,NA
332932,Ampharete octocirrata,Annelida,Polychaeta,Terebellida,Ampharetidae,Ampharete
101716,NA,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,Harpinia
129525,NA,Annelida,Polychaeta,Sabellida,Sabellidae,Chone
125125,Ophiopholis aculeata,Echinodermata,Ophiuroidea,Amphilepidida,Ophiopholidae,Ophiopholis
139691,Entalina tetragona,Mollusca,Scaphopoda,Gadilida,Entalinidae,Entalina
152396,Kelliella miliaris,Mollusca,Bivalvia,Venerida,Kelliellidae,Kelliella
882941,Laona quadrata,Mollusca,Gastropoda,Cephalaspidea,Laonidae,Laona
129272,NA,Annelida,Polychaeta,Eunicida,Dorvilleidae,Protodorvillea
101403,NA,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,NA
393810,Karnekampia sulcata,Mollusca,Bivalvia,Pectinida,Pectinidae,Karnekampia
110490,Diastylis spinulosa,Arthropoda,Malacostraca,Cumacea,Diastylidae,Diastylis
118982,Caecognathia elongata,Arthropoda,Malacostraca,Isopoda,Gnathiidae,Caecognathia
118506,Leptanthura tenuis,Arthropoda,Malacostraca,Isopoda,Leptanthuridae,Leptanthura
103875,Cnemidocarpa mortenseni,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Cnemidocarpa
106036,NA,Arthropoda,Hexanauplia,Lepadiformes,NA,NA
124273,Echinocyamus pusillus,Echinodermata,Echinoidea,Clypeasteroida,Fibulariidae,Echinocyamus
130140,Goniada maculata,Annelida,Polychaeta,Phyllodocida,Goniadidae,Goniada
140199,Leptochiton asellus,Mollusca,Polyplacophora,Lepidopleurida,Leptochitonidae,Leptochiton
125131,Ophiothrix fragilis,Echinodermata,Ophiuroidea,Amphilepidida,Ophiotrichidae,Ophiothrix
139106,Chaetoderma nitidulum,Mollusca,Caudofoveata,Chaetodermatida,Chaetodermatidae,Chaetoderma
118278,NA,Arthropoda,Malacostraca,Isopoda,Gnathiidae,NA
152905,Mendicula ferruginosa,Mollusca,Bivalvia,Lucinida,Thyasiridae,Mendicula
131129,Laonice sarsi,Annelida,Polychaeta,Spionida,Spionidae,Laonice
