name	AphiaID	Match type	ScientificName	AphiaID_accepted	ScientificName_accepted	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies
Magelona spp.	129341	exact	Magelona	129341	Magelona	Animalia	Annelida	Polychaeta		Magelonidae	Magelona			
Maja squinado	107350	exact	Maja squinado	107350	Maja squinado	Animalia	Arthropoda	Malacostraca	Decapoda	Majidae	Maja		squinado	
Malacoceros fuliginosus	131131	exact	Malacoceros fuliginosus	131131	Malacoceros fuliginosus	Animalia	Annelida	Polychaeta	Spionida	Spionidae	Malacoceros		fuliginosus	
Mediomastus fragilis	129892	exact	Mediomastus fragilis	129892	Mediomastus fragilis	Animalia	Annelida	Polychaeta		Capitellidae	Mediomastus		fragilis	
Metridium senile	100982	exact	Metridium senile	100982	Metridium senile	Animalia	Cnidaria	Anthozoa	Actiniaria	Metridiidae	Metridium		senile	
Modiolus modiolus	140467	exact	Modiolus modiolus	140467	Modiolus modiolus	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Modiolus		modiolus	
Molgula manhattensis	103788	exact	Molgula manhattensis	103788	Molgula manhattensis	Animalia	Chordata	Ascidiacea	Stolidobranchia	Molgulidae	Molgula		manhattensis	
Morchellium argus	148714	exact	Morchellium argus	148714	Morchellium argus	Animalia	Chordata	Ascidiacea	Aplousobranchia	Polyclinidae	Morchellium		argus	
Musculus discors	140472	exact	Musculus discors	140472	Musculus discors	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Musculus		discors	
Mya arenaria	140430	exact	Mya arenaria	140430	Mya arenaria	Animalia	Mollusca	Bivalvia	Myida	Myidae	Mya		arenaria	
Mysella bidentata	140380	exact	Mysella bidentata	345281	Kurtiella bidentata	Animalia	Mollusca	Bivalvia	Galeommatida	Lasaeidae	Mysella		bidentata	
Mytilus edulis	140480	exact	Mytilus edulis	140480	Mytilus edulis	Animalia	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus		edulis	
Neanthes fucata	130387	exact	Neanthes fucata	130387	Neanthes fucata	Animalia	Annelida	Polychaeta	Phyllodocida	Nereididae	Neanthes		fucata	
Necora puber	107398	exact	Necora puber	107398	Necora puber	Animalia	Arthropoda	Malacostraca	Decapoda	Polybiidae	Necora		puber	
Nematostella vectensis	100906	exact	Nematostella vectensis	100906	Nematostella vectensis	Animalia	Cnidaria	Anthozoa	Actiniaria	Edwardsiidae	Nematostella		vectensis	
Nemertesia antennina	117809	exact	Nemertesia antennina	117809	Nemertesia antennina	Animalia	Cnidaria	Hydrozoa	Leptothecata	Plumulariidae	Nemertesia		antennina	
Nemertesia ramosa	117815	exact	Nemertesia ramosa	117815	Nemertesia ramosa	Animalia	Cnidaria	Hydrozoa	Leptothecata	Plumulariidae	Nemertesia		ramosa	
Neocrania anomala	104051	exact	Neocrania anomala	235385	Novocrania anomala	Animalia	Brachiopoda	Craniata	Craniida	Craniidae	Neocrania		anomala	
Neomysis integer	120136	exact	Neomysis integer	120136	Neomysis integer	Animalia	Arthropoda	Malacostraca	Mysida	Mysidae	Neomysis		integer	
Neopentadactyla mixta	124685	exact	Neopentadactyla mixta	124685	Neopentadactyla mixta	Animalia	Echinodermata	Holothuroidea	Dendrochirotida	Phyllophoridae	Neopentadactyla		mixta	
Nephrops norvegicus	107254	exact	Nephrops norvegicus	107254	Nephrops norvegicus	Animalia	Arthropoda	Malacostraca	Decapoda	Nephropidae	Nephrops		norvegicus	
Nephtys cirrosa	130357	exact	Nephtys cirrosa	130357	Nephtys cirrosa	Animalia	Annelida	Polychaeta	Phyllodocida	Nephtyidae	Nephtys		cirrosa	
Nephtys hombergii	130359	exact	Nephtys hombergii	130359	Nephtys hombergii	Animalia	Annelida	Polychaeta	Phyllodocida	Nephtyidae	Nephtys		hombergii	
Neptunea antiqua	138920	exact	Neptunea antiqua	138920	Neptunea antiqua	Animalia	Mollusca	Gastropoda	Neogastropoda	Buccinidae	Neptunea		antiqua	
Nucella lapillus	140403	exact	Nucella lapillus	140403	Nucella lapillus	Animalia	Mollusca	Gastropoda	Neogastropoda	Muricidae	Nucella		lapillus	
Nucula nitidosa	140589	exact	Nucula nitidosa	140589	Nucula nitidosa	Animalia	Mollusca	Bivalvia	Nuculida	Nuculidae	Nucula		nitidosa	
Nucula sulcata	140592	exact	Nucula sulcata	140592	Nucula sulcata	Animalia	Mollusca	Bivalvia	Nuculida	Nuculidae	Nucula		sulcata	
Obelia longissima	117389	exact	Obelia longissima	117389	Obelia longissima	Animalia	Cnidaria	Hydrozoa	Leptothecata	Campanulariidae	Obelia		longissima	
Ophelia spp.	129413	exact	Ophelia	129413	Ophelia	Animalia	Annelida	Polychaeta		Opheliidae	Ophelia			
Ophiothrix fragilis	125131	exact	Ophiothrix fragilis	125131	Ophiothrix fragilis	Animalia	Echinodermata	Ophiuroidea	Amphilepidida	Ophiotrichidae	Ophiothrix		fragilis	
Ophiura albida	124913	exact	Ophiura albida	124913	Ophiura albida	Animalia	Echinodermata	Ophiuroidea	Ophiurida	Ophiuridae	Ophiura		albida	
Ophiura ophiura	124929	exact	Ophiura ophiura	124929	Ophiura ophiura	Animalia	Echinodermata	Ophiuroidea	Ophiurida	Ophiuridae	Ophiura		ophiura	
Osilinus lineatus	141827	exact	Osilinus lineatus	689176	Phorcus lineatus	Animalia	Mollusca	Gastropoda	Trochida	Trochidae	Osilinus		lineatus	
Ostrea edulis	140658	exact	Ostrea edulis	140658	Ostrea edulis	Animalia	Mollusca	Bivalvia	Ostreida	Ostreidae	Ostrea		edulis	
Owenia fusiformis	130544	exact	Owenia fusiformis	130544	Owenia fusiformis	Animalia	Annelida	Polychaeta		Oweniidae	Owenia		fusiformis	
Pagurus bernhardus	107232	exact	Pagurus bernhardus	107232	Pagurus bernhardus	Animalia	Arthropoda	Malacostraca	Decapoda	Paguridae	Pagurus		bernhardus	
Pagurus prideauxi	208731	exact	Pagurus prideauxi	107239	Pagurus prideaux	Animalia	Arthropoda	Malacostraca	Decapoda	Paguridae	Pagurus		prideauxi	
Pagurus spp.	106854	exact	Pagurus	106854	Pagurus	Animalia	Arthropoda	Malacostraca	Decapoda	Paguridae	Pagurus			
Palinurus elephas	107703	exact	Palinurus elephas	107703	Palinurus elephas	Animalia	Arthropoda	Malacostraca	Decapoda	Palinuridae	Palinurus		elephas	
Palmaria palmata	145771	exact	Palmaria palmata	145771	Palmaria palmata	Plantae	Rhodophyta	Florideophyceae	Palmariales	Palmariaceae	Palmaria		palmata	
Paludinella litorina	140266	match_deleted	Melarhaphe neritoides	140266	Melarhaphe neritoides	Animalia	Mollusca	Gastropoda	Littorinimorpha	Littorinidae	Melarhaphe		neritoides	
Pandalus borealis	107649	exact	Pandalus borealis	107649	Pandalus borealis	Animalia	Arthropoda	Malacostraca	Decapoda	Pandalidae	Pandalus		borealis	
Parablennius gattorugine	126770	exact	Parablennius gattorugine	126770	Parablennius gattorugine	Animalia	Chordata	Actinopterygii	Perciformes	Blenniidae	Parablennius		gattorugine	
Patella ulyssiponensis	140684	exact	Patella ulyssiponensis	140684	Patella ulyssiponensis	Animalia	Mollusca	Gastropoda		Patellidae	Patella		ulyssiponensis	
Patella vulgata	140685	exact	Patella vulgata	140685	Patella vulgata	Animalia	Mollusca	Gastropoda		Patellidae	Patella		vulgata	
Pecten maximus	140712	exact	Pecten maximus	140712	Pecten maximus	Animalia	Mollusca	Bivalvia	Pectinida	Pectinidae	Pecten		maximus	
Pelvetia canaliculata	145550	exact	Pelvetia canaliculata	145550	Pelvetia canaliculata	Chromista	Ochrophyta	Phaeophyceae	Fucales	Fucaceae	Pelvetia		canaliculata	
Pennatula phosphorea	128517	exact	Pennatula phosphorea	128517	Pennatula phosphorea	Animalia	Cnidaria	Anthozoa	Pennatulacea	Pennatulidae	Pennatula		phosphorea	
Pentapora fascialis	111082	exact	Pentapora fascialis	111082	Pentapora fascialis	Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Bitectiporidae	Pentapora		fascialis	
Phaxas pellucidus	140737	exact	Phaxas pellucidus	140737	Phaxas pellucidus	Animalia	Mollusca	Bivalvia	Adapedonta	Pharidae	Phaxas		pellucidus	
Philine aperta	140744	exact	Philine aperta	140744	Philine aperta	Animalia	Mollusca	Gastropoda	Cephalaspidea	Philinidae	Philine		aperta	
Pholas dactylus	140770	exact	Pholas dactylus	140770	Pholas dactylus	Animalia	Mollusca	Bivalvia	Myida	Pholadidae	Pholas		dactylus	
Pholoe spp.	129439	exact	Pholoe	129439	Pholoe	Animalia	Annelida	Polychaeta	Phyllodocida	Pholoidae	Pholoe			
Phymatolithon calcareum	145199	exact	Phymatolithon calcareum	145199	Phymatolithon calcareum	Plantae	Rhodophyta	Florideophyceae	Corallinales	Lithothamniaceae	Phymatolithon		calcareum	
Pilumnus spp.	106941	exact	Pilumnus	106941	Pilumnus	Animalia	Arthropoda	Malacostraca	Decapoda	Pilumnidae	Pilumnus			
Pionosyllis spp.	129669	exact	Pionosyllis	129669	Pionosyllis	Animalia	Annelida	Polychaeta	Phyllodocida	Syllidae	Pionosyllis			
Pirimela spp.	106878	exact	Pirimela	106878	Pirimela	Animalia	Arthropoda	Malacostraca	Decapoda	Carcinidae	Pirimela			
Pisidia longicornis	107188	exact	Pisidia longicornis	107188	Pisidia longicornis	Animalia	Arthropoda	Malacostraca	Decapoda	Porcellanidae	Pisidia		longicornis	
Pisione spp.	129469	exact	Pisione	129469	Pisione	Animalia	Annelida	Polychaeta	Phyllodocida	Sigalionidae	Pisione			
Pleuronectes platessa	127143	exact	Pleuronectes platessa	127143	Pleuronectes platessa	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Pleuronectes		platessa	
Polinices spp.	147109	exact	Polinices	147109	Polinices	Animalia	Mollusca	Gastropoda	Littorinimorpha	Naticidae	Polinices			
Pollachius pollachius	126440	exact	Pollachius pollachius	126440	Pollachius pollachius	Animalia	Chordata	Actinopterygii	Gadiformes	Gadidae	Pollachius		pollachius	
Polycirrus spp.	129710	exact	Polycirrus	129710	Polycirrus	Animalia	Annelida	Polychaeta	Terebellida	Terebellidae	Polycirrus			
Polydora ciliata	131141	exact	Polydora ciliata	131141	Polydora ciliata	Animalia	Annelida	Polychaeta	Spionida	Spionidae	Polydora		ciliata	
Polydora spp.	129619	exact	Polydora	129619	Polydora	Animalia	Annelida	Polychaeta	Spionida	Spionidae	Polydora			
Pomatoceros triqueter	131027	exact	Pomatoceros triqueter	555935	Spirobranchus triqueter	Animalia	Annelida	Polychaeta	Sabellida	Serpulidae	Pomatoceros		triqueter	
Pomatoschistus microps	126927	exact	Pomatoschistus microps	126927	Pomatoschistus microps	Animalia	Chordata	Actinopterygii	Perciformes	Gobiidae	Pomatoschistus		microps	
Pomatoschistus minutus	126928	exact	Pomatoschistus minutus	126928	Pomatoschistus minutus	Animalia	Chordata	Actinopterygii	Perciformes	Gobiidae	Pomatoschistus		minutus	
Processa canaliculata	107682	exact	Processa canaliculata	107682	Processa canaliculata	Animalia	Arthropoda	Malacostraca	Decapoda	Processidae	Processa		canaliculata	
Protanthea simplex	100913	exact	Protanthea simplex	100913	Protanthea simplex	Animalia	Cnidaria	Anthozoa	Actiniaria	Gonactiniidae	Protanthea		simplex	
Psammechinus miliaris	124319	exact	Psammechinus miliaris	124319	Psammechinus miliaris	Animalia	Echinodermata	Echinoidea	Camarodonta	Parechinidae	Psammechinus		miliaris	
Pseudamussium septemradiatum	153001	exact	Pseudamussium septemradiatum	140717	Pseudamussium peslutrae	Animalia	Mollusca	Bivalvia	Pectinida	Pectinidae	Pseudamussium		septemradiatum	
Pseudomystides spp.	129457	exact	Pseudomystides	129457	Pseudomystides	Animalia	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	Pseudomystides			
Pygospio elegans	131170	exact	Pygospio elegans	131170	Pygospio elegans	Animalia	Annelida	Polychaeta	Spionida	Spionidae	Pygospio		elegans	
Rhodothamniella floridula	145777	exact	Rhodothamniella floridula	145777	Rhodothamniella floridula	Plantae	Rhodophyta	Florideophyceae	Palmariales	Rhodothamniellaceae	Rhodothamniella		floridula	
Sabellaria alveolata	130866	exact	Sabellaria alveolata	130866	Sabellaria alveolata	Animalia	Annelida	Polychaeta		Sabellariidae	Sabellaria		alveolata	
Sabellaria spinulosa	130867	exact	Sabellaria spinulosa	130867	Sabellaria spinulosa	Animalia	Annelida	Polychaeta		Sabellariidae	Sabellaria		spinulosa	
Saccharina latissima	234483	exact	Saccharina latissima	234483	Saccharina latissima	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Saccharina		latissima	
Saccorhiza polyschides	145735	exact	Saccorhiza polyschides	145735	Saccorhiza polyschides	Chromista	Ochrophyta	Phaeophyceae	Tilopteridales	Phyllariaceae	Saccorhiza		polyschides	
Sagartiogeton undatus	101002	exact	Sagartiogeton undatus	101002	Sagartiogeton undatus	Animalia	Cnidaria	Anthozoa	Actiniaria	Sagartiidae	Sagartiogeton		undatus	
Sargassum (Bactrophycus) muticum	145559	exact	Sargassum (Bactrophycus) muticum	494791	Sargassum muticum	Chromista	Ochrophyta	Phaeophyceae	Fucales	Sargassaceae	Sargassum	Bactrophycus	muticum	
Scalibragma spp.									
Scoloplos armiger	130537	exact	Scoloplos armiger	130537	Scoloplos armiger	Animalia	Annelida	Polychaeta		Orbiniidae	Scoloplos		armiger	
Semibalanus balanoides	106210	exact	Semibalanus balanoides	106210	Semibalanus balanoides	Animalia	Arthropoda	Hexanauplia	Sessilia	Archaeobalanidae	Semibalanus		balanoides	
Serpula vermicularis	131051	exact	Serpula vermicularis	131051	Serpula vermicularis	Animalia	Annelida	Polychaeta	Sabellida	Serpulidae	Serpula		vermicularis	
Sertularia cupressina	117913	exact	Sertularia cupressina	117913	Sertularia cupressina	Animalia	Cnidaria	Hydrozoa	Leptothecata	Sertulariidae	Sertularia		cupressina	
Solecurtus spp.	138513	exact	Solecurtus	138513	Solecurtus	Animalia	Mollusca	Bivalvia	Cardiida	Solecurtidae	Solecurtus			
Spatangus purpureus	124418	exact	Spatangus purpureus	124418	Spatangus purpureus	Animalia	Echinodermata	Echinoidea	Spatangoida	Spatangidae	Spatangus		purpureus	
Sphenia spp.	138212	exact	Sphenia	138212	Sphenia	Animalia	Mollusca	Bivalvia	Myida	Myidae	Sphenia			
Spio filicornis	131183	exact	Spio filicornis	131183	Spio filicornis	Animalia	Annelida	Polychaeta	Spionida	Spionidae	Spio		filicornis	
Spio martinensis	131185	exact	Spio martinensis	131185	Spio martinensis	Animalia	Annelida	Polychaeta	Spionida	Spionidae	Spio		martinensis	
Spiophanes bombyx	131187	exact	Spiophanes bombyx	131187	Spiophanes bombyx	Animalia	Annelida	Polychaeta	Spionida	Spionidae	Spiophanes		bombyx	
Spisula solida	140301	exact	Spisula solida	140301	Spisula solida	Animalia	Mollusca	Bivalvia	Venerida	Mactridae	Spisula		solida	
Syllis spp.	129680	exact	Syllis	129680	Syllis	Animalia	Annelida	Polychaeta	Phyllodocida	Syllidae	Syllis			
Talitrus saltator	103220	exact	Talitrus saltator	103220	Talitrus saltator	Animalia	Arthropoda	Malacostraca	Amphipoda	Talitridae	Talitrus		saltator	
Tellina fabula	141587	exact	Tellina fabula	146907	Fabulina fabula	Animalia	Mollusca	Bivalvia	Cardiida	Tellinidae	Tellina		fabula	
Tellina spp.	138533	exact	Tellina	138533	Tellina	Animalia	Mollusca	Bivalvia	Cardiida	Tellinidae	Tellina			
Tenellia adspersa	141639	exact	Tenellia adspersa	141639	Tenellia adspersa	Animalia	Mollusca	Gastropoda	Nudibranchia	Trinchesiidae	Tenellia		adspersa	
Thelepus spp.	129714	exact	Thelepus	129714	Thelepus	Animalia	Annelida	Polychaeta	Terebellida	Terebellidae	Thelepus			
Thorogobius ephippiatus	126937	exact	Thorogobius ephippiatus	126937	Thorogobius ephippiatus	Animalia	Chordata	Actinopterygii	Perciformes	Gobiidae	Thorogobius		ephippiatus	
Thracia spp.	138549	exact	Thracia	138549	Thracia	Animalia	Mollusca	Bivalvia		Thraciidae	Thracia			
Thyasira flexuosa	141662	exact	Thyasira flexuosa	141662	Thyasira flexuosa	Animalia	Mollusca	Bivalvia	Lucinida	Thyasiridae	Thyasira		flexuosa	
Thyasira gouldi	141663	exact	Thyasira gouldi	141663	Thyasira gouldi	Animalia	Mollusca	Bivalvia	Lucinida	Thyasiridae	Thyasira		gouldi	
Travisia spp.	129417	exact	Travisia	129417	Travisia	Animalia	Annelida	Polychaeta		Travisiidae	Travisia			
Trisopterus luscus	126445	exact	Trisopterus luscus	126445	Trisopterus luscus	Animalia	Chordata	Actinopterygii	Gadiformes	Gadidae	Trisopterus		luscus	
Trisopterus minutus	126446	exact	Trisopterus minutus	126446	Trisopterus minutus	Animalia	Chordata	Actinopterygii	Gadiformes	Gadidae	Trisopterus		minutus	
Truncatella subcylindrica	141850	exact	Truncatella subcylindrica	141850	Truncatella subcylindrica	Animalia	Mollusca	Gastropoda	Littorinimorpha	Truncatellidae	Truncatella		subcylindrica	
Tubularia indivisa	117994	exact	Tubularia indivisa	117994	Tubularia indivisa	Animalia	Cnidaria	Hydrozoa	Anthoathecata	Tubulariidae	Tubularia		indivisa	
Turritella communis	141872	exact	Turritella communis	1381415	Turritellinella tricarinata	Animalia	Mollusca	Gastropoda	[unassigned] Caenogastropoda	Turritellidae	Turritella		communis	
Typosyllis spp.	147195	exact	Typosyllis	129680	Syllis	Animalia	Annelida	Polychaeta	Phyllodocida	Syllidae	Typosyllis			
Ulva intestinalis	234471	exact	Ulva intestinalis	234471	Ulva intestinalis	Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulva		intestinalis	
Umbonula littoralis	111586	exact	Umbonula littoralis	146830	Oshurkovia littoralis	Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Umbonulidae	Umbonula		littoralis	
Upogebia spp.	107079	exact	Upogebia	107079	Upogebia	Animalia	Arthropoda	Malacostraca	Decapoda	Upogebiidae	Upogebia			
Urothoe spp.	101789	exact	Urothoe	101789	Urothoe	Animalia	Arthropoda	Malacostraca	Amphipoda	Urothoidae	Urothoe			
Urticina felina	100834	exact	Urticina felina	100834	Urticina felina	Animalia	Cnidaria	Anthozoa	Actiniaria	Actiniidae	Urticina		felina	
Venerupis senegalensis	146955	exact	Venerupis senegalensis	181364	Venerupis corrugata	Animalia	Mollusca	Bivalvia	Venerida	Veneridae	Venerupis		senegalensis	
Victorella pavida	111673	exact	Victorella pavida	111673	Victorella pavida	Animalia	Bryozoa	Gymnolaemata	Ctenostomatida	Victorellidae	Victorella		pavida	
Virgularia mirabilis	128539	exact	Virgularia mirabilis	128539	Virgularia mirabilis	Animalia	Cnidaria	Anthozoa	Pennatulacea	Virgulariidae	Virgularia		mirabilis	
Zostera marina	495077	exact	Zostera marina	145795	Zostera subg. Zostera marina	Plantae	Tracheophyta	Magnoliopsida	Alismatales	Zosteraceae	Zostera		marina	
Abludomelita obtusata	102788	exact	Abludomelita obtusata	102788	Abludomelita obtusata	Animalia	Arthropoda	Malacostraca	Amphipoda	Melitidae	Abludomelita		obtusata	
Abra nitida	141435	exact	Abra nitida	141435	Abra nitida	Animalia	Mollusca	Bivalvia	Cardiida	Semelidae	Abra		nitida	
Abra prismatica	141436	exact	Abra prismatica	141436	Abra prismatica	Animalia	Mollusca	Bivalvia	Cardiida	Semelidae	Abra		prismatica	
Abra tenuis	141439	exact	Abra tenuis	141439	Abra tenuis	Animalia	Mollusca	Bivalvia	Cardiida	Semelidae	Abra		tenuis	
Ampelisca macrocephala	101908	exact	Ampelisca macrocephala	101908	Ampelisca macrocephala	Animalia	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae	Ampelisca		macrocephala	
Ampharete acutifrons	129775	exact	Ampharete acutifrons	129775	Ampharete acutifrons	Animalia	Annelida	Polychaeta	Terebellida	Ampharetidae	Ampharete		acutifrons	
Amphicteis gunneri	129784	exact	Amphicteis gunneri	129784	Amphicteis gunneri	Animalia	Annelida	Polychaeta	Terebellida	Ampharetidae	Amphicteis		gunneri	
Anomia ephippium	138748	exact	Anomia ephippium	138748	Anomia ephippium	Animalia	Mollusca	Bivalvia	Pectinida	Anomiidae	Anomia		ephippium	
Anoplodactylus petiolatus	134723	exact	Anoplodactylus petiolatus	134723	Anoplodactylus petiolatus	Animalia	Arthropoda	Pycnogonida	Pantopoda	Phoxichilidiidae	Anoplodactylus		petiolatus	
Aonides paucibranchiata	131107	exact	Aonides paucibranchiata	131107	Aonides paucibranchiata	Animalia	Annelida	Polychaeta	Spionida	Spionidae	Aonides		paucibranchiata	
Aonides spp.	129605	exact	Aonides	129605	Aonides	Animalia	Annelida	Polychaeta	Spionida	Spionidae	Aonides			
Asterina phylactica	123990	exact	Asterina phylactica	123990	Asterina phylactica	Animalia	Echinodermata	Asteroidea	Valvatida	Asterinidae	Asterina		phylactica	
Azorinus chamasolen	141541	exact	Azorinus chamasolen	141541	Azorinus chamasolen	Animalia	Mollusca	Bivalvia	Cardiida	Solecurtidae	Azorinus		chamasolen	
Bathyporeia guilliamsoniana	103060	exact	Bathyporeia guilliamsoniana	103060	Bathyporeia guilliamsoniana	Animalia	Arthropoda	Malacostraca	Amphipoda	Bathyporeiidae	Bathyporeia		guilliamsoniana	
Bathyporeia pilosa	103068	exact	Bathyporeia pilosa	103068	Bathyporeia pilosa	Animalia	Arthropoda	Malacostraca	Amphipoda	Bathyporeiidae	Bathyporeia		pilosa	
Bathyporeia sarsi	103073	exact	Bathyporeia sarsi	103073	Bathyporeia sarsi	Animalia	Arthropoda	Malacostraca	Amphipoda	Bathyporeiidae	Bathyporeia		sarsi	
Bathyporeia tenuipes	103076	exact	Bathyporeia tenuipes	103076	Bathyporeia tenuipes	Animalia	Arthropoda	Malacostraca	Amphipoda	Bathyporeiidae	Bathyporeia		tenuipes	
Bodotria scorpioides	110445	exact	Bodotria scorpioides	110445	Bodotria scorpioides	Animalia	Arthropoda	Malacostraca	Cumacea	Bodotriidae	Bodotria		scorpioides	
Branchiostoma lanceolatum	104906	exact	Branchiostoma lanceolatum	104906	Branchiostoma lanceolatum	Animalia	Chordata	Leptocardii		Branchiostomatidae	Branchiostoma		lanceolatum	
Caprella linearis	101839	exact	Caprella linearis	101839	Caprella linearis	Animalia	Arthropoda	Malacostraca	Amphipoda	Caprellidae	Caprella		linearis	
Capulus ungaricus	138984	exact	Capulus ungaricus	138984	Capulus ungaricus	Animalia	Mollusca	Gastropoda	Littorinimorpha	Capulidae	Capulus		ungaricus	
Ceratocephale loveni	130367	exact	Ceratocephale loveni	130367	Ceratocephale loveni	Animalia	Annelida	Polychaeta	Phyllodocida	Nereididae	Ceratocephale		loveni	
Chamelea gallina	141907	exact	Chamelea gallina	141907	Chamelea gallina	Animalia	Mollusca	Bivalvia	Venerida	Veneridae	Chamelea		gallina	
Corella parallelogramma	103743	exact	Corella parallelogramma	103743	Corella parallelogramma	Animalia	Chordata	Ascidiacea	Phlebobranchia	Corellidae	Corella		parallelogramma	
Corophium crassicorne	102089	exact	Corophium crassicorne	397383	Crassicorophium crassicorne	Animalia	Arthropoda	Malacostraca	Amphipoda	Corophiidae	Corophium		crassicorne	
Diastylis bradyi	110472	exact	Diastylis bradyi	110472	Diastylis bradyi	Animalia	Arthropoda	Malacostraca	Cumacea	Diastylidae	Diastylis		bradyi	
Diastylis laevis	110481	exact	Diastylis laevis	110481	Diastylis laevis	Animalia	Arthropoda	Malacostraca	Cumacea	Diastylidae	Diastylis		laevis	
Diastylis rathkei	110487	exact	Diastylis rathkei	110487	Diastylis rathkei	Animalia	Arthropoda	Malacostraca	Cumacea	Diastylidae	Diastylis		rathkei	
Donax vittatus	139604	exact	Donax vittatus	139604	Donax vittatus	Animalia	Mollusca	Bivalvia	Cardiida	Donacidae	Donax		vittatus	
Drilonereis spp.	129200	exact	Drilonereis	129200	Drilonereis	Animalia	Annelida	Polychaeta	Eunicida	Oenonidae	Drilonereis			
Echiurus echiurus	110377	exact	Echiurus echiurus	110377	Echiurus echiurus	Animalia	Annelida	Polychaeta	Echiuroidea	Echiuridae	Echiurus		echiurus	
Escharella immersa	111484	exact	Escharella immersa	111484	Escharella immersa	Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Escharellidae	Escharella		immersa	
Eteone flava	130613	exact	Eteone flava	130613	Eteone flava	Animalia	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	Eteone		flava	
Eteone foliosa	130614	exact	Eteone foliosa	152250	Hypereteone foliosa	Animalia	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	Eteone		foliosa	
Eteone longa	130616	exact	Eteone longa	130616	Eteone longa	Animalia	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	Eteone		longa	
Eudorella emarginata	110524	exact	Eudorella emarginata	110524	Eudorella emarginata	Animalia	Arthropoda	Malacostraca	Cumacea	Leuconidae	Eudorella		emarginata	
Eudorella truncatula	110535	exact	Eudorella truncatula	110535	Eudorella truncatula	Animalia	Arthropoda	Malacostraca	Cumacea	Leuconidae	Eudorella		truncatula	
Eulalia mustela	130631	exact	Eulalia mustela	130631	Eulalia mustela	Animalia	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	Eulalia		mustela	
Eulalia viridis	130639	exact	Eulalia viridis	130639	Eulalia viridis	Animalia	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	Eulalia		viridis	
Eusyllis blomstrandi	131290	exact	Eusyllis blomstrandi	131290	Eusyllis blomstrandi	Animalia	Annelida	Polychaeta	Phyllodocida	Syllidae	Eusyllis		blomstrandi	
Exogone hebes	238310	exact	Exogone hebes	757970	Parexogone hebes	Animalia	Annelida	Polychaeta	Phyllodocida	Syllidae	Exogone		hebes	
Gastrosaccus spinifer	120020	exact	Gastrosaccus spinifer	120020	Gastrosaccus spinifer	Animalia	Arthropoda	Malacostraca	Mysida	Mysidae	Gastrosaccus		spinifer	
Gattyana cirrhosa	130749	exact	Gattyana cirrhosa	130749	Gattyana cirrhosa	Animalia	Annelida	Polychaeta	Phyllodocida	Polynoidae	Gattyana		cirrhosa	
Glycera alba	130116	exact	Glycera alba	130116	Glycera alba	Animalia	Annelida	Polychaeta	Phyllodocida	Glyceridae	Glycera		alba	
Glycera lapidum	130123	exact	Glycera lapidum	130123	Glycera lapidum	Animalia	Annelida	Polychaeta	Phyllodocida	Glyceridae	Glycera		lapidum	
Glycera rouxi	183173	exact	Glycera rouxi	130131	Glycera unicornis	Animalia	Annelida	Polychaeta	Phyllodocida	Glyceridae	Glycera		rouxi	
Glycera spp.	129296	exact	Glycera	129296	Glycera	Animalia	Annelida	Polychaeta	Phyllodocida	Glyceridae	Glycera			
Glycinde nordmanni	130136	exact	Glycinde nordmanni	130136	Glycinde nordmanni	Animalia	Annelida	Polychaeta	Phyllodocida	Goniadidae	Glycinde		nordmanni	
Goniada maculata	130140	exact	Goniada maculata	130140	Goniada maculata	Animalia	Annelida	Polychaeta	Phyllodocida	Goniadidae	Goniada		maculata	
Goodallia triangularis	138831	exact	Goodallia triangularis	138831	Goodallia triangularis	Animalia	Mollusca	Bivalvia	Carditida	Astartidae	Goodallia		triangularis	
Harmothoe impar	130770	exact	Harmothoe impar	130770	Harmothoe impar	Animalia	Annelida	Polychaeta	Phyllodocida	Polynoidae	Harmothoe		impar	
Haustorius arenarius	102317	exact	Haustorius arenarius	102317	Haustorius arenarius	Animalia	Arthropoda	Malacostraca	Amphipoda	Haustoriidae	Haustorius		arenarius	
Hesionura elongata	130649	exact	Hesionura elongata	130649	Hesionura elongata	Animalia	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	Hesionura		elongata	
Hiatella arctica	140103	exact	Hiatella arctica	140103	Hiatella arctica	Animalia	Mollusca	Bivalvia	Adapedonta	Hiatellidae	Hiatella		arctica	
