name
Eusyllis blomstrandi
Exogone hebes
Gastrosaccus spinifer
Gattyana cirrhosa
Glycera alba
Glycera lapidum
Glycera rouxi
Glycera spp.
Glycinde nordmanni
Goniada maculata
Goodallia triangularis
Harmothoe impar
Haustorius arenarius
Hesionura elongata
Hiatella arctica
Hyalinoecia tubicola
Hyas coarctatus
Iphinoe serrata
Iphinoe trispinosa
Laevicardium crassum
Laonice cirrata
Laonice spp.
Lepidonotus squamatus
Leptosynapta inhaerens
Leptosynapta spp.
Liocarcinus marmoreus
Lucinoma borealis
Lumbrineris hibernica
Lumbrineris latreilli
Mactra stultorum
Maera othonis
Marphysa bellii
Minuspio spp.
Modiolus barbatus
Nephasoma spp.
Nephtys caeca
Nephtys incisa
Nephtys longosetosa
Nereimyra punctata
Notomastus latericeus
Ophelia borealis
Orbinia sertulata
Orbinia spp.
Paraonis spp.
Parvicardium scabrum
Pectinaria (Amphictene) auricoma
Pectinaria koreni
Phoronis muelleri
Photis longicaudata
Phyllodoce (Anaitides) groenlandica
Phyllodoce (Anaitides) maculata
Pisidia spp.
Pisione remota
Poecilochaetus serpens
Pontocrates altamarinus
Prionospio spp.
Protodorvillea kefersteini
Protodorvillea spp.
Pycnogonum littorale
Sagartia elegans
Scalibregma inflatum
Scaphander lignarius
Scolelepis bonnieri
Sphaerosyllis bulbosa
Sphaerosyllis spp.
Spisula elliptica
Spisula subtruncata
Stenothoe marina
Tellina tenuis
Thracia villosiuscula
Thyone fusus
Timoclea ovata
Travisia forbesii
Unciola crenatipalma
Upogebia deltaura
Urothoe brevicornis
Urothoe elegans
Urothoe marina
Urothoe poseidonis
Acanthocardia tuberculata
Acteon tornatilis
Aequipecten spp.
Alentia gelatinosa
Amaeana spp.
Ampelisca gibba
Ampelisca typica
Amphilochus manudens
Amphipholis squamata
Amphiura (Acrocnida) brachiata
Amphiura (Ophiopeltis) securigera
Anoplodactylus spp.
Antalis entalis
Argissa hamatipes
Ascidia spp.
Astacilla longicornis
Atelecyclus rotundatus
Atylus falcatus
Atylus vedlomensis
Axius spp.
Bathyarca pectunculoides
Bispira spp.
Bodotria arenosa
Bodotria spp.
Bowerbankia spp.
Brania spp.
Buccinum spp.
Callianassa tyrrhena
Calliostoma spp.
Calocaris macandreae
Caulleriella spp.
Cellaria fistulosa
Chamelea spp.
Cheirocratus intermedius
Cheirocratus spp.
Chlamys distorta
Chlamys spp.
Chlamys varia
Circomphalus casina
Circomphalus spp.
Ciriformia spp.
Cirrophorous spp.
Clausinella spp.
Clymenura spp.
Cochlodesma praetenue
Corophium spp.
Crenella decussata
Crisia eburnea
Cylichna cylindracea
Devonia perrieri
Dexamine spinosa
Diastylis lucifera
Diastylis rugosa
Didemnum spp.
Diodora spp.
Diplocirrus glaucus
Dodecaceria concharum
Dosinia exoleta
Dosinia lupinus
Drilonereis filum
Dulichia spp.
Dyopedos monacantha
Dyopedos porrectus
Ebalia spp.
Echinocardium flavescens
Echinus elegans
Ennucula tenuis
Ericthonius difformis
Eualus pusiolus
Euclymene lumbricoides
Euclymene robusta
Eulalia bilineata
Eulima bilineata
Eumida sanguinea
Eunereis longissima
Eunoe nodosa
Eupolymnia nebulosa
Eurynome aspera
Eurysyllis spp.
Eusirus longipes
Exogone naidina
Exogone verugera
Facelina bostoniensis
Galathea dispersa
Galathea intermedia
Gammaropsis maculata
Gammaropsis nitida
Gammaropsis palmata
Gammaropsis spp.
Gari fervensis
Gari spp.
Gitana sarsi
Glycera tridactyla
Glycinde spp.
Glycymeris glycymeris
Gnathia oxyuraea
Golfingia spp.
Goniada spp.
Gouldia minima
Grania spp.
Guernea spp.
Hanleya hanleyi
Haploops tubicola
Harpinia antennaria
Harpinia crenulata
Harpinia pectinata
Harpinia spp.
Heteromastus spp.
Hiatella spp.
Hinia spp.
Hippolyte spp.
Hippomedon denticulatus
Hyas spp.
Hydrallmania spp.
Inachus phalangium
Ione thoracica
Iphimedia obesa
Ischyrocerus anguipes
Janira maculosa
Jasmineira spp.
Kefersteinia cirrata
Kellia suborbicularis
Leptocheirus hirsutimanus
Leptocheirus spp.
Leptochiton asellus
Lepton squamosum
Leucothoe incisa
Leucothoe lilljeborgi
Leucothoe spinicarpa
Limatula subauriculata
Liocarcinus pusillus
Lucinoma spp.
Macrochaeta spp.
Maerella tenuimana
Maldane sarsi
Malmgreniella castanea
Margarites helicinus
Marphysa sanguinea
Marphysa spp.
Megamphopus cornutus
Melanella alba
Melinna cristata
Melphidippella macra
Metaphoxus fultoni
Metopa pusilla
Metopa spp.
Microprotopus maculatus
Molgula spp.
Montacuta ferruginosa
Montacuta substriata
Musculus niger
Mya truncata
Myrianida spp.
Myriochele spp.
Myrtea spinifera
Mysia undata
Nereiphylla spp.
Nereis spp.
Nereis zonata
Nicomache lumbricalis
Notomastus spp.
Notophyllum foliosum
Nucula spp.
Nuculana minuta
Nuculana spp.
Nymphon spp.
Odontosyllis gibba
Odontosyllis spp.
Oenopota turricula
Onchidoris bilamellata
Onchidoris muricata
Ophelina acuminata
Ophiactis balli
Ophiodromus flexuosus
Ophryotrocha spp.
Orbinia latreillii
Orchomene spp.
Palaemon spp.
Palliolum spp.
Palliolum striatum
Pandalina spp.
Pandalus spp.
Panomya arctica
Paphia rhomboides
Parametaphoxus spp.
Parametopa spp.
Paramphilochoides odontonyx
Paranaitis kosteriensis
Parapleustes bicuspis
Parvicardium exiguum
Parvicardium minimum
Parvicardium ovale
Pasiphaea sivado
Pasiphaea spp.
Pectinaria belgica
Pelonaia corrugata
Peltocoxa damnoniensis
Perioculodes longimanus
Pherusa plumosa
Philine catena
Philine scabra
Phoronis hippocrepia
Photis reinhardi
Phoxocephalus holbolli
Phtisica marina
Phyllodoce laminosa
Pinnotheres pisum
Pista cristata
Pleurobranchus membranaceus
Pleurocrypta longibranchiata
Podarkeopsis spp.
Poecilochaetus spp.
Polycarpa fibrosa
Polycarpa spp.
Polydora cornuta
Pomatoceros spp.
Pontocrates spp.
Priapulus caudatus
Prionospio cirrifera
Prionospio malmgreni
Processa nouveli holthuisi
Processa parva
Protula tubularia
Psamathe spp.
Pseudocuma (Pseudocuma) longicorne
Pseudomystides limbata
Pseudothyone raphanus
Pulsellum spp.
Puncturella noachina
Rhodine loveni
Sagitta spp.
Saxicavella jeffreysi
Scaphander spp.
Schistomysis spp.
Scolelepis foliosa
Scolelepis squamata
Sepiola spp.
Siboglinum spp.
Sigalion mathildae
Solen marginatus
Sphaerodoridium claparedeii
Sphaerosyllis hystrix
Sphenia binghami
Spiochaetopterus typicus
Stenothoe monoculoides
Stenula rubrovittata
Sthenelais limicola
Stichastrella rosea
Styela coriacea
Styela spp.
Syllides spp.
Synchelidium haplocheles
Tapes spp.
Terebellides stroemii
Tharyx spp.
Thyasira spp.
Timoclea spp.
Trichobranchus glacialis
Trichotropis borealis
Tridonta spp.
Tritonia hombergi
Trypanosyllis coeliaca
Tubificoides spp.
Turbonilla (Pyrgiscus) crenata
Upogebia stellata
Vaunthompsonia cristata
Velutina velutina
Venus spp.
Verruca spp.
Vesicularia spp.
Vitreolina philippi
Westwoodilla caecula
